,index,Acceleration_X,Acceleration_Y,Acceleration_Z,magnitude
0,2021-09-02 08:19:09.003,1019.0,41.0,13.0,1019.9073487332072
1,2021-09-02 08:19:09.012,1012.0,45.0,13.0,1013.0834121630854
2,2021-09-02 08:19:09.013,1012.0,45.0,11.0,1013.0597218328246
3,2021-09-02 08:19:09.025,1010.0,42.0,10.0,1010.9223511229733
4,2021-09-02 08:19:09.032,1015.0,41.0,12.0,1015.8986169889198
5,2021-09-02 08:19:09.042,1013.0,45.0,6.0,1014.0167651474013
6,2021-09-02 08:19:09.051,1008.0,45.0,6.0,1009.0218035305282
7,2021-09-02 08:19:09.052,1008.0,44.0,13.0,1009.0436065899233
8,2021-09-02 08:19:09.065,1009.0,45.0,13.0,1010.0866299481446
9,2021-09-02 08:19:09.066,1009.0,45.0,6.0,1010.0207918651972
10,2021-09-02 08:19:09.071,1018.0,42.0,4.0,1018.8738881726237
11,2021-09-02 08:19:09.081,1009.0,42.0,0.0,1009.8737544861734
12,2021-09-02 08:19:09.091,1014.0,39.0,7.0,1014.7738664352763
13,2021-09-02 08:19:09.101,1006.0,41.0,4.0,1006.843086086407
14,2021-09-02 08:19:09.110,1007.0,38.0,6.0,1007.7345880736653
15,2021-09-02 08:19:09.120,1010.0,42.0,1.0,1010.8733847520173
16,2021-09-02 08:19:09.129,1010.0,43.0,1.0,1010.9154267296548
17,2021-09-02 08:19:09.130,1010.0,43.0,5.0,1010.9272970891626
18,2021-09-02 08:19:09.139,1004.0,41.0,5.0,1004.8492424239569
19,2021-09-02 08:19:09.140,1004.0,41.0,4.0,1004.8447641302611
20,2021-09-02 08:19:09.149,1008.0,42.0,-2.0,1008.8766029599458
21,2021-09-02 08:19:09.159,1008.0,44.0,3.0,1008.9643204791734
22,2021-09-02 08:19:09.169,1001.0,42.0,5.0,1001.8932078819579
23,2021-09-02 08:19:09.179,1009.0,42.0,7.0,1009.8980146529649
24,2021-09-02 08:19:09.188,1009.0,39.0,9.0,1009.7935432552538
25,2021-09-02 08:19:09.199,1016.0,42.0,14.0,1016.9641094945288
26,2021-09-02 08:19:09.209,1010.0,42.0,10.0,1010.9223511229733
27,2021-09-02 08:19:09.217,1006.0,42.0,10.0,1006.9260151570223
28,2021-09-02 08:19:09.218,1006.0,40.0,9.0,1006.835140427667
29,2021-09-02 08:19:09.227,1016.0,41.0,3.0,1016.8313527817678
30,2021-09-02 08:19:09.237,1015.0,44.0,8.0,1015.9847439799478
31,2021-09-02 08:19:09.247,1009.0,39.0,11.0,1009.8133490898207
32,2021-09-02 08:19:09.257,1015.0,39.0,11.0,1015.8085449532308
33,2021-09-02 08:19:09.258,1015.0,42.0,5.0,1015.8808985309253
34,2021-09-02 08:19:09.271,1013.0,48.0,9.0,1014.1765132362315
35,2021-09-02 08:19:09.276,1010.0,45.0,11.0,1011.0618180902688
36,2021-09-02 08:19:09.286,1008.0,45.0,11.0,1009.0639226530695
37,2021-09-02 08:19:09.287,1008.0,41.0,6.0,1008.8513270051242
38,2021-09-02 08:19:09.296,1011.0,38.0,6.0,1011.7316837976362
39,2021-09-02 08:19:09.306,1011.0,44.0,4.0,1011.9649203406213
40,2021-09-02 08:19:09.315,1012.0,37.0,15.0,1012.7872432056004
41,2021-09-02 08:19:09.325,1008.0,44.0,9.0,1009.0
42,2021-09-02 08:19:09.335,1009.0,38.0,5.0,1009.7276860619402
43,2021-09-02 08:19:09.344,1009.0,41.0,5.0,1009.8450376171584
44,2021-09-02 08:19:09.345,1009.0,41.0,9.0,1009.8727642629045
45,2021-09-02 08:19:09.355,1007.0,40.0,1.0,1007.7946219344495
46,2021-09-02 08:19:09.364,1011.0,40.0,1.0,1011.7914804938812
47,2021-09-02 08:19:09.365,1011.0,47.0,5.0,1012.1042436429165
48,2021-09-02 08:19:09.374,1009.0,42.0,1.0,1009.8742495974437
49,2021-09-02 08:19:09.383,1014.0,42.0,1.0,1014.8699424064149
50,2021-09-02 08:19:09.384,1014.0,42.0,4.0,1014.8773324890058
51,2021-09-02 08:19:09.393,1010.0,38.0,7.0,1010.7388386719884
52,2021-09-02 08:19:09.403,1013.0,47.0,11.0,1014.14939727833
53,2021-09-02 08:19:09.413,1009.0,47.0,11.0,1010.1539486632719
54,2021-09-02 08:19:09.414,1009.0,46.0,11.0,1010.1079150269045
55,2021-09-02 08:19:09.422,1015.0,46.0,11.0,1016.1013728954409
56,2021-09-02 08:19:09.423,1015.0,48.0,9.0,1016.1741976649477
57,2021-09-02 08:19:09.432,1011.0,40.0,8.0,1011.8226129119669
58,2021-09-02 08:19:09.443,1012.0,40.0,9.0,1012.8301930728566
59,2021-09-02 08:19:09.452,1019.0,42.0,3.0,1019.8695995077018
60,2021-09-02 08:19:09.462,1010.0,42.0,3.0,1010.8773417185687
61,2021-09-02 08:19:09.463,1010.0,42.0,17.0,1011.0158257910704
62,2021-09-02 08:19:09.471,1019.0,37.0,17.0,1019.8132181924296
63,2021-09-02 08:19:09.472,1019.0,37.0,6.0,1019.6891683253284
64,2021-09-02 08:19:09.481,1004.0,44.0,10.0,1005.0134327460504
65,2021-09-02 08:19:09.491,1014.0,41.0,2.0,1014.830527723718
66,2021-09-02 08:19:09.501,1011.0,44.0,9.0,1011.9970355687807
67,2021-09-02 08:19:09.510,1016.0,45.0,9.0,1017.0358892389196
68,2021-09-02 08:19:09.511,1016.0,45.0,10.0,1017.0452300659986
69,2021-09-02 08:19:09.521,1011.0,40.0,7.0,1011.8152005183555
70,2021-09-02 08:19:09.530,1010.0,50.0,0.0,1011.2368664165681
71,2021-09-02 08:19:09.540,1015.0,41.0,8.0,1015.8592422181333
72,2021-09-02 08:19:09.549,1016.0,41.0,8.0,1016.85839722156
73,2021-09-02 08:19:09.550,1016.0,43.0,8.0,1016.9410012385183
74,2021-09-02 08:19:09.559,1006.0,42.0,13.0,1006.9602772701612
75,2021-09-02 08:19:09.570,1013.0,41.0,3.0,1013.8338128115475
76,2021-09-02 08:19:09.579,1007.0,45.0,5.0,1008.0173609616056
77,2021-09-02 08:19:09.589,1010.0,41.0,4.0,1010.8397499109342
78,2021-09-02 08:19:09.599,1017.0,44.0,7.0,1017.9754417470001
79,2021-09-02 08:19:09.609,1002.0,44.0,8.0,1002.9975074744702
80,2021-09-02 08:19:09.618,1013.0,44.0,2.0,1013.9570996842026
81,2021-09-02 08:19:09.628,1013.0,40.0,2.0,1013.7913986614801
82,2021-09-02 08:19:09.637,1009.0,40.0,2.0,1009.7945335562082
83,2021-09-02 08:19:09.638,1009.0,47.0,10.0,1010.1435541545568
84,2021-09-02 08:19:09.647,1010.0,42.0,7.0,1010.897126318994
85,2021-09-02 08:19:09.657,1013.0,41.0,3.0,1013.8338128115475
86,2021-09-02 08:19:09.667,1014.0,39.0,10.0,1014.7989948753399
87,2021-09-02 08:19:09.677,1012.0,39.0,10.0,1012.8005726696643
88,2021-09-02 08:19:09.678,1012.0,42.0,9.0,1012.9111510887814
89,2021-09-02 08:19:09.686,1016.0,45.0,4.0,1017.003933129071
90,2021-09-02 08:19:09.696,1015.0,40.0,4.0,1015.795747185427
91,2021-09-02 08:19:09.706,1008.0,40.0,7.0,1008.8176247469113
92,2021-09-02 08:19:09.716,1009.0,43.0,9.0,1009.9559396330119
93,2021-09-02 08:19:09.726,1008.0,37.0,6.0,1008.6966838450496
94,2021-09-02 08:19:09.735,1015.0,45.0,4.0,1016.0049212479239
95,2021-09-02 08:19:09.745,1009.0,40.0,0.0,1009.7925529533281
96,2021-09-02 08:19:09.755,1008.0,40.0,2.0,1008.7953211628214
97,2021-09-02 08:19:09.765,1013.0,39.0,7.0,1013.774629787114
98,2021-09-02 08:19:09.774,1006.0,45.0,8.0,1007.0377351420353
99,2021-09-02 08:19:09.784,1015.0,41.0,8.0,1015.8592422181333
100,2021-09-02 08:19:09.785,1015.0,41.0,8.0,1015.8592422181333
101,2021-09-02 08:19:09.794,1009.0,45.0,7.0,1010.0272273557778
102,2021-09-02 08:19:09.803,1012.0,47.0,7.0,1013.1149984083742
103,2021-09-02 08:19:09.804,1012.0,47.0,5.0,1013.1031536817957
104,2021-09-02 08:19:09.813,1009.0,44.0,9.0,1009.9990099005048
105,2021-09-02 08:19:09.823,1007.0,46.0,5.0,1008.0624980624962
106,2021-09-02 08:19:09.833,1008.0,46.0,5.0,1009.0614451062928
107,2021-09-02 08:19:09.834,1008.0,41.0,2.0,1008.8354672591562
108,2021-09-02 08:19:09.842,1010.0,41.0,2.0,1010.8338142345655
109,2021-09-02 08:19:09.843,1010.0,36.0,12.0,1010.7126198875721
110,2021-09-02 08:19:09.852,1014.0,37.0,12.0,1014.7457809717663
111,2021-09-02 08:19:09.853,1014.0,37.0,14.0,1014.7714028292284
112,2021-09-02 08:19:09.863,1013.0,42.0,4.0,1013.8781978127353
113,2021-09-02 08:19:09.872,1014.0,44.0,2.0,1014.9561566885537
114,2021-09-02 08:19:09.882,1013.0,41.0,4.0,1013.8372650479957
115,2021-09-02 08:19:09.891,1014.0,46.0,8.0,1015.07438151103
116,2021-09-02 08:19:09.901,1007.0,34.0,14.0,1007.6710772866313
117,2021-09-02 08:19:09.911,1013.0,46.0,6.0,1014.0616352076436
118,2021-09-02 08:19:09.921,1014.0,42.0,12.0,1014.9403923383875
119,2021-09-02 08:19:09.967,1013.0,39.0,12.0,1013.8214832996981
120,2021-09-02 08:19:09.968,1013.0,39.0,5.0,1013.7627927676178
121,2021-09-02 08:19:09.972,1004.0,45.0,11.0,1005.0681568928547
122,2021-09-02 08:19:09.976,1020.0,36.0,8.0,1020.666448944022
123,2021-09-02 08:19:09.979,1011.0,44.0,3.0,1011.9614617167988
124,2021-09-02 08:19:09.989,1015.0,47.0,6.0,1016.1053095029077
125,2021-09-02 08:19:09.999,1006.0,44.0,2.0,1006.963753071579
126,2021-09-02 08:19:10.009,1016.0,46.0,12.0,1017.1115966303796
127,2021-09-02 08:19:10.019,1008.0,46.0,12.0,1009.1204090692052
128,2021-09-02 08:19:10.020,1008.0,41.0,2.0,1008.8354672591562
129,2021-09-02 08:19:10.030,1016.0,43.0,2.0,1016.911500574165
130,2021-09-02 08:19:10.031,1016.0,43.0,1.0,1016.9100255184821
131,2021-09-02 08:19:10.049,1016.0,43.0,-1.0,1016.9100255184821
132,2021-09-02 08:19:10.051,1012.0,47.0,7.0,1013.1149984083742
133,2021-09-02 08:19:10.062,1010.0,47.0,7.0,1011.1172038888469
134,2021-09-02 08:19:10.063,1010.0,42.0,9.0,1010.9129537205466
135,2021-09-02 08:19:10.067,1013.0,46.0,2.0,1014.0458569512525
136,2021-09-02 08:19:10.077,1006.0,43.0,6.0,1006.9364428800857
137,2021-09-02 08:19:10.087,1013.0,45.0,11.0,1014.0586768032706
138,2021-09-02 08:19:10.098,1014.0,45.0,0.0,1014.9980295547376
139,2021-09-02 08:19:10.106,1009.0,41.0,8.0,1009.8643473259168
140,2021-09-02 08:19:10.116,1009.0,41.0,8.0,1009.8643473259168
141,2021-09-02 08:19:10.117,1009.0,42.0,4.0,1009.8816762373699
142,2021-09-02 08:19:10.126,1012.0,42.0,14.0,1012.9679165699179
143,2021-09-02 08:19:10.135,1009.0,46.0,14.0,1010.1450390909218
144,2021-09-02 08:19:10.136,1009.0,46.0,7.0,1010.0722746417704
145,2021-09-02 08:19:10.146,1019.0,38.0,6.0,1019.7259435750373
146,2021-09-02 08:19:10.155,1013.0,47.0,10.0,1014.1390437213232
147,2021-09-02 08:19:10.165,1011.0,45.0,6.0,1012.0187745294056
148,2021-09-02 08:19:10.174,1009.0,45.0,6.0,1010.0207918651972
149,2021-09-02 08:19:10.175,1009.0,41.0,18.0,1009.993069283151
150,2021-09-02 08:19:10.184,1013.0,42.0,2.0,1013.8722799248434
151,2021-09-02 08:19:10.194,1009.0,46.0,6.0,1010.0658394382021
152,2021-09-02 08:19:10.205,938.0,126.0,26.0,946.7819178670451
153,2021-09-02 08:19:10.214,1013.0,15.0,-7.0,1013.1352328292605
