,index,Acceleration_X,Acceleration_Y,Acceleration_Z,magnitude
0,2021-09-27 09:36:46.004,1013.0,20.0,3.0,1013.2018555056046
1,2021-09-27 09:36:46.005,1013.0,24.0,5.0,1013.296600211409
2,2021-09-27 09:36:46.014,1019.0,26.0,14.0,1019.4277806691359
3,2021-09-27 09:36:46.024,1007.0,27.0,10.0,1007.4115345776025
4,2021-09-27 09:36:46.034,1010.0,25.0,4.0,1010.3172768986977
5,2021-09-27 09:36:46.043,1015.0,24.0,7.0,1015.3078350923921
6,2021-09-27 09:36:46.053,1014.0,24.0,7.0,1014.3081385851145
7,2021-09-27 09:36:46.054,1014.0,24.0,0.0,1014.2839839019445
8,2021-09-27 09:36:46.066,1006.0,24.0,0.0,1006.2862415833777
9,2021-09-27 09:36:46.067,1006.0,31.0,7.0,1006.5018628894832
10,2021-09-27 09:36:46.073,1011.0,25.0,0.0,1011.3090526639223
11,2021-09-27 09:36:46.082,1015.0,24.0,0.0,1015.2837041930694
12,2021-09-27 09:36:46.083,1015.0,24.0,6.0,1015.3014330729569
13,2021-09-27 09:36:46.092,1010.0,24.0,6.0,1010.302924869566
14,2021-09-27 09:36:46.093,1010.0,30.0,0.0,1010.4454463255303
15,2021-09-27 09:36:46.102,1006.0,28.0,2.0,1006.3915738915941
16,2021-09-27 09:36:46.111,1012.0,24.0,6.0,1012.3023263827857
17,2021-09-27 09:36:46.122,1011.0,26.0,4.0,1011.3421775047257
18,2021-09-27 09:36:46.131,1012.0,24.0,6.0,1012.3023263827857
19,2021-09-27 09:36:46.141,1011.0,25.0,8.0,1011.340694326101
20,2021-09-27 09:36:46.151,1005.0,28.0,3.0,1005.3944499548423
21,2021-09-27 09:36:46.160,1008.0,29.0,3.0,1008.4215388417683
22,2021-09-27 09:36:46.161,1008.0,29.0,10.0,1008.4666578524052
23,2021-09-27 09:36:46.170,1013.0,29.0,10.0,1013.4643555646148
24,2021-09-27 09:36:46.171,1013.0,20.0,0.0,1013.1974141301388
25,2021-09-27 09:36:46.181,1009.0,28.0,1.0,1009.3889240525675
26,2021-09-27 09:36:46.201,1008.0,28.0,0.0,1008.38881390067
27,2021-09-27 09:36:46.203,1011.0,31.0,7.0,1011.4993821055948
28,2021-09-27 09:36:46.210,1011.0,24.0,0.0,1011.2848263471573
29,2021-09-27 09:36:46.219,1016.0,23.0,6.0,1016.2780131440412
